1.176077607760775967e-01,1.216901690169016614e-01,1.117641764176419139e-01
1.275740411846590927e-01,1.293980703691259837e-01,1.313741019856318193e-01
1.163399999999999990e-01,1.355490000000000306e-01,1.127569999999999961e-01
1.315571049136785575e-01,1.488213811420981969e-01,1.319941119057903567e-01
1.474485897943591528e-01,1.647686590746362256e-01,1.378445513782056153e-01
1.401692615233537387e-01,1.567854110686995872e-01,1.347762129859169100e-01
1.215326130452181186e-01,1.430852340936373812e-01,1.250700280112043705e-01
1.289666049591999819e-01,1.380917090968006855e-01,1.292056338816995886e-01
1.381357686526640816e-01,1.407768980680054183e-01,1.441750645781644247e-01
1.406650204674766425e-01,1.531485309722475652e-01,1.451385617659737282e-01
