1.213340156026039951e+00,1.126944495294860404e+00,7.393100153241837225e-01
1.150241001933935969e+00,1.058839722639238090e+00,6.874098321717821980e-01
1.233204543651563068e+00,1.209782207648777641e+00,7.391219847283946320e-01
1.216620949683000052e+00,8.637620717468874609e-01,6.807934576090877155e-01
1.204668090997481178e+00,8.722533662627663942e-01,7.020276534534661828e-01
1.145694443639714510e+00,8.480596739050320076e-01,7.325475621624580880e-01
1.143053968739711213e+00,8.201827462492653487e-01,6.846649372627912067e-01
1.204326161169278375e+00,8.818670370499355204e-01,7.116172486183947044e-01
1.147540002842324158e+00,6.894451939310332067e-01,7.170754882594383428e-01
1.194689028590005808e+00,8.558536250716518579e-01,6.993000727091014390e-01
